config,m_tile,n_tile,simdgroups,mat_n,correct,time_us,gflops
32x16_sg1,32,16,1,512,yes,472,568.72
32x16_sg2,32,16,2,512,yes,460,583.56
32x16_sg3,32,16,3,512,yes,755,355.54
32x16_sg4,32,16,4,512,yes,734,365.72
32x16_sg5,32,16,5,512,yes,820,327.36
32x16_sg6,32,16,6,512,yes,740,362.75
32x16_sg7,32,16,7,512,yes,585,458.86
32x16_sg8,32,16,8,512,yes,830,323.42
32x16_sg9,32,16,9,512,yes,825,325.38
32x16_sg10,32,16,10,512,yes,473,567.52
32x16_sg11,32,16,11,512,yes,597,449.64
32x16_sg12,32,16,12,512,yes,729,368.22
32x16_sg13,32,16,13,512,yes,601,446.65
32x16_sg14,32,16,14,512,yes,647,414.89
32x16_sg15,32,16,15,512,yes,801,335.13
32x16_sg16,32,16,16,512,yes,652,411.71
32x16_sg17,32,16,17,512,yes,580,462.82
32x16_sg18,32,16,18,512,yes,600,447.39
32x16_sg19,32,16,19,512,yes,775,346.37
32x16_sg20,32,16,20,512,yes,792,338.93
32x16_sg21,32,16,21,512,yes,784,342.39
32x16_sg22,32,16,22,512,yes,715,375.43
32x16_sg23,32,16,23,512,yes,648,414.25
32x16_sg24,32,16,24,512,yes,822,326.56
32x16_sg25,32,16,25,512,yes,764,351.36
32x16_sg26,32,16,26,512,yes,664,404.27
32x16_sg27,32,16,27,512,yes,793,338.51
32x16_sg28,32,16,28,512,yes,865,310.33
32x16_sg29,32,16,29,512,yes,764,351.36
32x16_sg30,32,16,30,512,yes,833,322.25
32x16_sg31,32,16,31,512,yes,810,331.40
32x16_sg32,32,16,32,512,yes,820,327.36
32x32_sg1,32,32,1,512,yes,816,328.97
32x32_sg2,32,32,2,512,yes,795,337.65
32x32_sg3,32,32,3,512,yes,654,410.45
32x32_sg4,32,32,4,512,yes,397,676.16
32x32_sg5,32,32,5,512,yes,786,341.52
32x32_sg6,32,32,6,512,yes,848,316.55
32x32_sg7,32,32,7,512,yes,944,284.36
32x32_sg8,32,32,8,512,yes,885,303.32
32x32_sg9,32,32,9,512,yes,835,321.48
32x32_sg10,32,32,10,512,yes,962,279.04
32x32_sg11,32,32,11,512,yes,999,268.70
32x32_sg12,32,32,12,512,yes,1062,252.76
32x32_sg13,32,32,13,512,yes,785,341.96
32x32_sg14,32,32,14,512,yes,916,293.05
32x32_sg15,32,32,15,512,yes,512,524.29
32x32_sg16,32,32,16,512,yes,698,384.58
32x32_sg17,32,32,17,512,yes,776,345.92
32x32_sg18,32,32,18,512,yes,984,272.80
32x32_sg19,32,32,19,512,yes,706,380.22
32x32_sg20,32,32,20,512,yes,965,278.17
32x32_sg21,32,32,21,512,yes,778,345.03
32x32_sg22,32,32,22,512,yes,423,634.60
32x32_sg23,32,32,23,512,yes,762,352.28
32x32_sg24,32,32,24,512,yes,788,340.65
32x32_sg25,32,32,25,512,yes,784,342.39
32x32_sg26,32,32,26,512,yes,968,277.31
32x32_sg27,32,32,27,512,yes,783,342.83
32x32_sg28,32,32,28,512,yes,975,275.32
32x32_sg29,32,32,29,512,yes,780,344.15
32x32_sg30,32,32,30,512,yes,951,282.27
32x32_sg31,32,32,31,512,yes,754,356.02
32x32_sg32,32,32,32,512,yes,924,290.51
64x32_sg1,64,32,1,512,yes,589,455.75
64x32_sg2,64,32,2,512,yes,230,1167.11
64x32_sg3,64,32,3,512,yes,700,383.48
64x32_sg4,64,32,4,512,yes,496,541.20
64x32_sg5,64,32,5,512,yes,830,323.42
64x32_sg6,64,32,6,512,yes,669,401.25
64x32_sg7,64,32,7,512,yes,827,324.59
64x32_sg8,64,32,8,512,yes,815,329.37
64x32_sg9,64,32,9,512,yes,822,326.56
64x32_sg10,64,32,10,512,yes,432,621.38
64x32_sg11,64,32,11,512,yes,831,323.03
64x32_sg12,64,32,12,512,yes,810,331.40
64x32_sg13,64,32,13,512,yes,812,330.59
64x32_sg14,64,32,14,512,yes,803,334.29
64x32_sg15,64,32,15,512,yes,809,331.81
64x32_sg16,64,32,16,512,yes,1043,257.37
64x32_sg17,64,32,17,512,yes,823,326.17
64x32_sg18,64,32,18,512,yes,822,326.56
64x32_sg19,64,32,19,512,yes,824,325.77
64x32_sg20,64,32,20,512,yes,806,333.05
64x32_sg21,64,32,21,512,yes,828,324.20
64x32_sg22,64,32,22,512,yes,819,327.76
64x32_sg23,64,32,23,512,yes,455,589.97
64x32_sg24,64,32,24,512,yes,808,332.22
64x32_sg25,64,32,25,512,yes,826,324.98
64x32_sg26,64,32,26,512,yes,803,334.29
64x32_sg27,64,32,27,512,yes,837,320.71
64x32_sg28,64,32,28,512,yes,801,335.13
64x32_sg29,64,32,29,512,yes,826,324.98
64x32_sg30,64,32,30,512,yes,808,332.22
64x32_sg31,64,32,31,512,yes,820,327.36
64x32_sg32,64,32,32,512,yes,809,331.81
64x64_sg1,64,64,1,512,yes,770,348.62
64x64_sg2,64,64,2,512,yes,484,554.62
64x64_sg3,64,64,3,512,yes,761,352.74
64x64_sg4,64,64,4,512,yes,517,519.22
64x64_sg5,64,64,5,512,yes,634,423.40
64x64_sg6,64,64,6,512,yes,689,389.60
64x64_sg7,64,64,7,512,yes,771,348.17
64x64_sg8,64,64,8,512,yes,502,534.73
64x64_sg9,64,64,9,512,yes,844,318.05
64x64_sg10,64,64,10,512,yes,582,461.23
64x64_sg11,64,64,11,512,yes,851,315.44
64x64_sg12,64,64,12,512,yes,674,398.27
64x64_sg13,64,64,13,512,yes,833,322.25
64x64_sg14,64,64,14,512,yes,746,359.83
64x64_sg15,64,64,15,512,yes,837,320.71
64x64_sg16,64,64,16,512,yes,805,333.46
64x64_sg17,64,64,17,512,yes,842,318.81
64x64_sg18,64,64,18,512,yes,798,336.39
64x64_sg19,64,64,19,512,yes,1105,242.93
64x64_sg20,64,64,20,512,yes,841,319.19
64x64_sg21,64,64,21,512,yes,833,322.25
64x64_sg22,64,64,22,512,yes,819,327.76
64x64_sg23,64,64,23,512,yes,830,323.42
64x64_sg24,64,64,24,512,yes,814,329.77
64x64_sg25,64,64,25,512,yes,1023,262.40
64x64_sg26,64,64,26,512,yes,838,320.33
64x64_sg27,64,64,27,512,yes,846,317.30
64x64_sg28,64,64,28,512,yes,811,330.99
64x64_sg29,64,64,29,512,yes,769,349.07
64x64_sg30,64,64,30,512,yes,998,268.97
64x64_sg31,64,64,31,512,yes,1008,266.31
64x64_sg32,64,64,32,512,yes,1010,265.78
128x32_sg1,128,32,1,512,yes,1008,266.31
128x32_sg2,128,32,2,512,yes,657,408.58
128x32_sg3,128,32,3,512,yes,1087,246.95
128x32_sg4,128,32,4,512,yes,922,291.14
128x32_sg5,128,32,5,512,yes,416,645.28
128x32_sg6,128,32,6,512,yes,851,315.44
128x32_sg7,128,32,7,512,yes,888,302.29
128x32_sg8,128,32,8,512,yes,860,312.13
128x32_sg9,128,32,9,512,yes,869,308.90
128x32_sg10,128,32,10,512,yes,866,309.97
128x32_sg11,128,32,11,512,yes,873,307.49
128x32_sg12,128,32,12,512,yes,861,311.77
128x32_sg13,128,32,13,512,yes,1226,218.95
128x32_sg14,128,32,14,512,yes,860,312.13
128x32_sg15,128,32,15,512,yes,899,298.59
128x32_sg16,128,32,16,512,yes,485,553.48
128x32_sg17,128,32,17,512,yes,892,300.94
128x32_sg18,128,32,18,512,yes,867,309.61
128x32_sg19,128,32,19,512,yes,1091,246.05
128x32_sg20,128,32,20,512,yes,817,328.56
128x32_sg21,128,32,21,512,yes,880,305.04
128x32_sg22,128,32,22,512,yes,487,551.20
128x32_sg23,128,32,23,512,yes,872,307.84
128x32_sg24,128,32,24,512,yes,856,313.59
128x32_sg25,128,32,25,512,yes,890,301.61
128x32_sg26,128,32,26,512,yes,874,307.13
128x32_sg27,128,32,27,512,yes,440,610.08
128x32_sg28,128,32,28,512,yes,1140,235.47
128x32_sg29,128,32,29,512,yes,1045,256.88
128x32_sg30,128,32,30,512,yes,982,273.36
128x32_sg31,128,32,31,512,yes,993,270.33
128x32_sg32,128,32,32,512,yes,1118,240.10
128x64_sg1,128,64,1,512,yes,701,382.93
128x64_sg2,128,64,2,512,yes,537,499.88
128x64_sg3,128,64,3,512,yes,1168,229.82
128x64_sg4,128,64,4,512,yes,872,307.84
128x64_sg5,128,64,5,512,yes,769,349.07
128x64_sg6,128,64,6,512,yes,837,320.71
128x64_sg7,128,64,7,512,yes,927,289.57
128x64_sg8,128,64,8,512,yes,606,442.96
128x64_sg9,128,64,9,512,yes,1316,203.98
128x64_sg10,128,64,10,512,yes,722,371.79
128x64_sg11,128,64,11,512,yes,999,268.70
128x64_sg12,128,64,12,512,yes,801,335.13
128x64_sg13,128,64,13,512,yes,466,576.04
128x64_sg14,128,64,14,512,yes,1133,236.92
128x64_sg15,128,64,15,512,yes,959,279.91
128x64_sg16,128,64,16,512,yes,1146,234.24
128x64_sg17,128,64,17,512,yes,1087,246.95
128x64_sg18,128,64,18,512,yes,1194,224.82
128x64_sg19,128,64,19,512,yes,1231,218.06
128x64_sg20,128,64,20,512,yes,1187,226.15
128x64_sg21,128,64,21,512,yes,1188,225.96
128x64_sg22,128,64,22,512,yes,986,272.25
128x64_sg23,128,64,23,512,yes,974,275.60
128x64_sg24,128,64,24,512,yes,985,272.52
128x64_sg25,128,64,25,512,yes,1000,268.44
128x64_sg26,128,64,26,512,yes,939,285.87
128x64_sg27,128,64,27,512,yes,1004,267.37
128x64_sg28,128,64,28,512,yes,984,272.80
128x64_sg29,128,64,29,512,yes,1021,262.91
128x64_sg30,128,64,30,512,yes,989,271.42
128x64_sg31,128,64,31,512,yes,991,270.87
128x64_sg32,128,64,32,512,yes,994,270.06
128x128_sg1,128,128,1,512,yes,1891,141.95
128x128_sg2,128,128,2,512,yes,465,577.28
128x128_sg3,128,128,3,512,yes,1020,263.17
128x128_sg4,128,128,4,512,yes,834,321.87
128x128_sg5,128,128,5,512,yes,970,276.74
128x128_sg6,128,128,6,512,yes,862,311.41
128x128_sg7,128,128,7,512,yes,1179,227.68
128x128_sg8,128,128,8,512,yes,753,356.49
128x128_sg9,128,128,9,512,yes,1148,233.83
128x128_sg10,128,128,10,512,yes,870,308.55
128x128_sg11,128,128,11,512,yes,1155,232.41
128x128_sg12,128,128,12,512,yes,1220,220.03
128x128_sg13,128,128,13,512,yes,1091,246.05
128x128_sg14,128,128,14,512,yes,1135,236.51
128x128_sg15,128,128,15,512,yes,1201,223.51
128x128_sg16,128,128,16,512,yes,794,338.08
128x128_sg17,128,128,17,512,yes,612,438.62
128x128_sg18,128,128,18,512,yes,732,366.72
128x128_sg19,128,128,19,512,yes,1445,185.77
128x128_sg20,128,128,20,512,yes,1065,252.05
128x128_sg21,128,128,21,512,yes,1215,220.93
128x128_sg22,128,128,22,512,yes,1253,214.23
128x128_sg23,128,128,23,512,yes,1202,223.32
128x128_sg24,128,128,24,512,yes,876,306.43
128x128_sg25,128,128,25,512,yes,1217,220.57
128x128_sg26,128,128,26,512,yes,967,277.60
128x128_sg27,128,128,27,512,yes,1210,221.85
128x128_sg28,128,128,28,512,yes,1069,251.11
128x128_sg29,128,128,29,512,yes,1216,220.75
128x128_sg30,128,128,30,512,yes,1153,232.81
128x128_sg31,128,128,31,512,yes,1095,245.15
128x128_sg32,128,128,32,512,yes,1140,235.47
32x16_sg1,32,16,1,1024,yes,993,2162.62
32x16_sg2,32,16,2,1024,yes,627,3425.01
32x16_sg3,32,16,3,1024,yes,877,2448.67
32x16_sg4,32,16,4,1024,yes,669,3209.99
32x16_sg5,32,16,5,1024,yes,772,2781.71
32x16_sg6,32,16,6,1024,yes,728,2949.84
32x16_sg7,32,16,7,1024,yes,956,2246.32
32x16_sg8,32,16,8,1024,yes,1088,1973.79
32x16_sg9,32,16,9,1024,yes,1226,1751.62
32x16_sg10,32,16,10,1024,yes,1710,1255.84
32x16_sg11,32,16,11,1024,yes,1984,1082.40
32x16_sg12,32,16,12,1024,yes,951,2258.13
32x16_sg13,32,16,13,1024,yes,1112,1931.19
32x16_sg14,32,16,14,1024,yes,1051,2043.28
32x16_sg15,32,16,15,1024,yes,913,2352.12
32x16_sg16,32,16,16,1024,yes,961,2234.63
32x16_sg17,32,16,17,1024,yes,947,2267.67
32x16_sg18,32,16,18,1024,yes,879,2443.10
32x16_sg19,32,16,19,1024,yes,854,2514.62
32x16_sg20,32,16,20,1024,yes,823,2609.34
32x16_sg21,32,16,21,1024,yes,842,2550.46
32x16_sg22,32,16,22,1024,yes,937,2291.87
32x16_sg23,32,16,23,1024,yes,888,2418.34
32x16_sg24,32,16,24,1024,yes,888,2418.34
32x16_sg25,32,16,25,1024,yes,915,2346.98
32x16_sg26,32,16,26,1024,yes,840,2556.53
32x16_sg27,32,16,27,1024,yes,830,2587.33
32x16_sg28,32,16,28,1024,yes,849,2529.43
32x16_sg29,32,16,29,1024,yes,786,2732.17
32x16_sg30,32,16,30,1024,yes,867,2476.91
32x16_sg31,32,16,31,1024,yes,840,2556.53
32x16_sg32,32,16,32,1024,yes,859,2499.98
32x32_sg1,32,32,1,1024,yes,858,2502.89
32x32_sg2,32,32,2,1024,yes,772,2781.71
32x32_sg3,32,32,3,1024,yes,1119,1919.11
32x32_sg4,32,32,4,1024,yes,838,2562.63
32x32_sg5,32,32,5,1024,yes,1468,1462.86
32x32_sg6,32,32,6,1024,yes,1180,1819.90
32x32_sg7,32,32,7,1024,yes,1471,1459.88
32x32_sg8,32,32,8,1024,yes,1473,1457.90
32x32_sg9,32,32,9,1024,yes,1483,1448.07
32x32_sg10,32,32,10,1024,yes,1472,1458.89
32x32_sg11,32,32,11,1024,yes,1492,1439.33
32x32_sg12,32,32,12,1024,yes,1514,1418.42
32x32_sg13,32,32,13,1024,yes,1524,1409.11
32x32_sg14,32,32,14,1024,yes,1558,1378.36
32x32_sg15,32,32,15,1024,yes,1551,1384.58
32x32_sg16,32,32,16,1024,yes,1555,1381.02
32x32_sg17,32,32,17,1024,yes,1572,1366.08
32x32_sg18,32,32,18,1024,yes,1581,1358.31
32x32_sg19,32,32,19,1024,yes,1620,1325.61
32x32_sg20,32,32,20,1024,yes,1603,1339.67
32x32_sg21,32,32,21,1024,yes,1305,1645.58
32x32_sg22,32,32,22,1024,yes,1181,1818.36
32x32_sg23,32,32,23,1024,yes,1124,1910.57
32x32_sg24,32,32,24,1024,yes,1128,1903.80
32x32_sg25,32,32,25,1024,yes,1313,1635.55
32x32_sg26,32,32,26,1024,yes,1435,1496.50
32x32_sg27,32,32,27,1024,yes,1578,1360.89
32x32_sg28,32,32,28,1024,yes,1488,1443.20
32x32_sg29,32,32,29,1024,yes,1530,1403.58
32x32_sg30,32,32,30,1024,yes,1545,1389.96
32x32_sg31,32,32,31,1024,yes,1528,1405.42
32x32_sg32,32,32,32,1024,yes,1556,1380.13
64x32_sg1,64,32,1,1024,yes,900,2386.09
64x32_sg2,64,32,2,1024,yes,843,2547.43
64x32_sg3,64,32,3,1024,yes,1333,1611.02
64x32_sg4,64,32,4,1024,yes,932,2304.17
64x32_sg5,64,32,5,1024,yes,1637,1311.84
64x32_sg6,64,32,6,1024,yes,1313,1635.55
64x32_sg7,64,32,7,1024,yes,1664,1290.56
64x32_sg8,64,32,8,1024,yes,1634,1314.25
64x32_sg9,64,32,9,1024,yes,1606,1337.16
64x32_sg10,64,32,10,1024,yes,1679,1279.03
64x32_sg11,64,32,11,1024,yes,1703,1261.00
64x32_sg12,64,32,12,1024,yes,1734,1238.46
64x32_sg13,64,32,13,1024,yes,1763,1218.08
64x32_sg14,64,32,14,1024,yes,1716,1251.45
64x32_sg15,64,32,15,1024,yes,1678,1279.79
64x32_sg16,64,32,16,1024,yes,1700,1263.23
64x32_sg17,64,32,17,1024,yes,1680,1278.26
64x32_sg18,64,32,18,1024,yes,1687,1272.96
64x32_sg19,64,32,19,1024,yes,1713,1253.64
64x32_sg20,64,32,20,1024,yes,1714,1252.91
64x32_sg21,64,32,21,1024,yes,1719,1249.26
64x32_sg22,64,32,22,1024,yes,1710,1255.84
64x32_sg23,64,32,23,1024,yes,1726,1244.20
64x32_sg24,64,32,24,1024,yes,1746,1229.94
64x32_sg25,64,32,25,1024,yes,1756,1222.94
64x32_sg26,64,32,26,1024,yes,1773,1211.21
64x32_sg27,64,32,27,1024,yes,1826,1176.06
64x32_sg28,64,32,28,1024,yes,1807,1188.42
64x32_sg29,64,32,29,1024,yes,1683,1275.99
64x32_sg30,64,32,30,1024,yes,1434,1497.55
64x32_sg31,64,32,31,1024,yes,1277,1681.66
64x32_sg32,64,32,32,1024,yes,1198,1792.56
64x64_sg1,64,64,1,1024,yes,809,2654.49
64x64_sg2,64,64,2,1024,yes,726,2957.97
64x64_sg3,64,64,3,1024,yes,1017,2111.59
64x64_sg4,64,64,4,1024,yes,693,3098.82
64x64_sg5,64,64,5,1024,yes,872,2462.71
64x64_sg6,64,64,6,1024,yes,975,2202.55
64x64_sg7,64,64,7,1024,yes,1105,1943.42
64x64_sg8,64,64,8,1024,yes,711,3020.37
64x64_sg9,64,64,9,1024,yes,1217,1764.57
64x64_sg10,64,64,10,1024,yes,838,2562.63
64x64_sg11,64,64,11,1024,yes,1237,1736.04
64x64_sg12,64,64,12,1024,yes,968,2218.47
64x64_sg13,64,64,13,1024,yes,1220,1760.23
64x64_sg14,64,64,14,1024,yes,1088,1973.79
64x64_sg15,64,64,15,1024,yes,1215,1767.48
64x64_sg16,64,64,16,1024,yes,1213,1770.39
64x64_sg17,64,64,17,1024,yes,1227,1750.19
64x64_sg18,64,64,18,1024,yes,1214,1768.93
64x64_sg19,64,64,19,1024,yes,1217,1764.57
64x64_sg20,64,64,20,1024,yes,1215,1767.48
64x64_sg21,64,64,21,1024,yes,1226,1751.62
64x64_sg22,64,64,22,1024,yes,1209,1776.25
64x64_sg23,64,64,23,1024,yes,1224,1754.48
64x64_sg24,64,64,24,1024,yes,1214,1768.93
64x64_sg25,64,64,25,1024,yes,1231,1744.50
64x64_sg26,64,64,26,1024,yes,1203,1785.11
64x64_sg27,64,64,27,1024,yes,1233,1741.67
64x64_sg28,64,64,28,1024,yes,1198,1792.56
64x64_sg29,64,64,29,1024,yes,1217,1764.57
64x64_sg30,64,64,30,1024,yes,1211,1773.31
64x64_sg31,64,64,31,1024,yes,1233,1741.67
64x64_sg32,64,64,32,1024,yes,1210,1774.78
128x32_sg1,128,32,1,1024,yes,806,2664.37
128x32_sg2,128,32,2,1024,yes,703,3054.74
128x32_sg3,128,32,3,1024,yes,997,2153.95
128x32_sg4,128,32,4,1024,yes,709,3028.89
128x32_sg5,128,32,5,1024,yes,1241,1730.45
128x32_sg6,128,32,6,1024,yes,981,2189.08
128x32_sg7,128,32,7,1024,yes,1249,1719.36
128x32_sg8,128,32,8,1024,yes,1228,1748.77
128x32_sg9,128,32,9,1024,yes,1246,1723.50
128x32_sg10,128,32,10,1024,yes,1223,1755.91
128x32_sg11,128,32,11,1024,yes,1247,1722.12
128x32_sg12,128,32,12,1024,yes,1222,1757.35
128x32_sg13,128,32,13,1024,yes,1251,1716.61
128x32_sg14,128,32,14,1024,yes,1218,1763.12
128x32_sg15,128,32,15,1024,yes,1248,1720.74
128x32_sg16,128,32,16,1024,yes,1225,1753.05
128x32_sg17,128,32,17,1024,yes,1243,1727.66
128x32_sg18,128,32,18,1024,yes,1215,1767.48
128x32_sg19,128,32,19,1024,yes,1230,1745.92
128x32_sg20,128,32,20,1024,yes,1217,1764.57
128x32_sg21,128,32,21,1024,yes,1252,1715.24
128x32_sg22,128,32,22,1024,yes,1225,1753.05
128x32_sg23,128,32,23,1024,yes,1227,1750.19
128x32_sg24,128,32,24,1024,yes,1194,1798.56
128x32_sg25,128,32,25,1024,yes,1228,1748.77
128x32_sg26,128,32,26,1024,yes,1242,1729.05
128x32_sg27,128,32,27,1024,yes,1227,1750.19
128x32_sg28,128,32,28,1024,yes,1196,1795.55
128x32_sg29,128,32,29,1024,yes,1215,1767.48
128x32_sg30,128,32,30,1024,yes,1197,1794.05
128x32_sg31,128,32,31,1024,yes,1223,1755.91
128x32_sg32,128,32,32,1024,yes,1203,1785.11
128x64_sg1,128,64,1,1024,yes,875,2454.27
128x64_sg2,128,64,2,1024,yes,791,2714.90
128x64_sg3,128,64,3,1024,yes,1059,2027.84
128x64_sg4,128,64,4,1024,yes,724,2966.14
128x64_sg5,128,64,5,1024,yes,894,2402.11
128x64_sg6,128,64,6,1024,yes,1030,2084.94
128x64_sg7,128,64,7,1024,yes,1152,1864.14
128x64_sg8,128,64,8,1024,yes,707,3037.46
128x64_sg9,128,64,9,1024,yes,1274,1685.62
128x64_sg10,128,64,10,1024,yes,883,2432.03
128x64_sg11,128,64,11,1024,yes,1298,1654.46
128x64_sg12,128,64,12,1024,yes,1005,2136.80
